channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
123,0.8866666666666667,8.777777777777779,3.1666666666666665,1.06,0.9233333333333333,2.7111111111111112,1.2444444444444445
124,0.8833333333333333,8.155555555555555,2.938888888888889,0.8766666666666667,1.01,2.2055555555555557,1.2833333333333334
125,0.9133333333333333,8.405555555555555,2.827777777777778,0.9866666666666667,0.9133333333333333,2.1555555555555554,1.1777777777777778
126,0.8633333333333333,7.916666666666667,2.716666666666667,0.8833333333333333,0.8633333333333333,1.7222222222222223,1.1055555555555556
127,0.8766666666666667,7.65,2.4055555555555554,0.8633333333333333,0.8733333333333333,1.6055555555555556,1.0277777777777777
128,0.8733333333333333,7.355555555555555,2.283333333333333,0.9266666666666666,0.7533333333333333,1.5222222222222221,0.8611111111111112
129,0.7733333333333333,7.161111111111111,2.4277777777777776,0.7766666666666666,0.7866666666666666,1.3277777777777777,0.9777777777777777
130,0.7666666666666667,6.272222222222222,2.283333333333333,0.8366666666666667,0.87,1.1166666666666667,0.9555555555555556
131,0.7566666666666667,5.561111111111111,1.8944444444444444,0.74,0.76,1.1611111111111112,0.8388888888888889
132,0.7633333333333333,5.4222222222222225,1.7,0.59,0.6766666666666666,1.0444444444444445,0.7833333333333333
133,0.7466666666666667,4.877777777777778,1.8111111111111111,0.6933333333333334,0.6333333333333333,0.8666666666666667,0.7777777777777778
134,0.67,4.483333333333333,1.7666666666666666,0.63,0.5866666666666667,0.8055555555555556,0.6611111111111111
135,0.5633333333333334,4.288888888888889,1.4166666666666667,0.5533333333333333,0.6033333333333334,0.7777777777777778,0.7111111111111111
136,0.5433333333333333,3.7,1.4111111111111112,0.5966666666666667,0.6466666666666666,0.5611111111111111,0.5555555555555556
137,0.51,3.311111111111111,1.1222222222222222,0.47,0.5133333333333333,0.5833333333333334,0.6888888888888889
138,0.4866666666666667,3.022222222222222,1.1555555555555554,0.49,0.5666666666666667,0.6722222222222223,0.5
139,0.5,2.8555555555555556,0.95,0.5133333333333333,0.49666666666666665,0.5222222222222223,0.5111111111111111
140,0.44,2.4611111111111112,0.9055555555555556,0.48,0.5233333333333333,0.4888888888888889,0.48333333333333334
141,0.44666666666666666,2.2111111111111112,0.9444444444444444,0.43333333333333335,0.45,0.43333333333333335,0.38333333333333336
142,0.4266666666666667,1.9111111111111112,0.7722222222222223,0.4066666666666667,0.36666666666666664,0.4,0.34444444444444444
143,0.38,1.8944444444444444,0.6888888888888889,0.44333333333333336,0.4166666666666667,0.38333333333333336,0.39444444444444443
144,0.4066666666666667,1.6222222222222222,0.6888888888888889,0.38333333333333336,0.4,0.3333333333333333,0.3388888888888889
